Registration Option,MIST ID,Category I: Knowledge and Quran,Category II: Arts,Category III: Writing and Oratory,Category IV: Brackets,Category V: Group Projects,Category VI: Sports,Category VII: eSports
Competitor,EZZRI,,,,,,,
Competitor,YYSIE,,Photography,,Math Olympics,Short Film,,
Competitor,MM4EH,,,Original Oratory,,,Basketball - Male (waitlisted),
Competitor,C57K7-TWBGQ,,,Prepared Essay,MIST Quiz Bowl,Short Film,,
Competitor,C57K7-EFJEI,Quran Memorization - Level 1 - Female,,,,Short Film,,
Competitor,C57K7-X45DS,,,,MIST Quiz Bowl,Short Film,,
Competitor,C57K7-C0Q9Y,,,Poetry,,,,
Competitor,C57K7-DGT2S,,Photography,Short Fiction,,Short Film,,
Competitor,C57K7-7P2P4,,**Culinary Arts [2 max]**,,,,,
Competitor,C57K7-OZJN5,,,,MIST Quiz Bowl,,,
Competitor,C57K7-464AL,,**Culinary Arts [2 max]**,Extemporaneous Essay,,,,
Competitor,C57K7-76T5Q,Quran Memorization - Level 1 - Female,,,,,,
Competitor,C57K7-OHXEW,,,,,Short Film,,
Competitor,C57K7-GM4N9,Knowledge Test 1,Digital Art,Prepared Essay,MIST Quiz Bowl,Short Film,,
Competitor,C57K7-YJWCL,,Photography,,,Science Fair,,
Competitor,C57K7-LASPY,,,,MIST Quiz Bowl,,,
Competitor,C57K7-GS5OZ,Quran Memorization - Level 3 - Male,,,,,,
Competitor,C57K7-PV0KV,,,Extemporaneous Speaking,,,Basketball - Male,**Super Smash Bros - Singles (DC)**
Competitor,C57K7-7KVAH,Quran Recitation - Female,,,Math Olympics,,,**Chess[DC]**
Competitor,C57K7-9P8T6,,,,Math Olympics,,Basketball - Male,**Super Smash Bros - Singles (DC)**
Competitor,C57K7-K7SFL,,,Poetry,,,,
Competitor,C57K7-BVA46,Quran Memorization - Level 1 - Male,,,,,Basketball - Male,
Competitor,C57K7-330RT,Knowledge Test 1,2D Art,,MIST Quiz Bowl,,,**Chess[DC]**
Competitor,C57K7-MHS57,Quran Memorization - Level 2 - Male,,,,,Basketball - Male,
Competitor,UQ6MX-ZY0K2,Knowledge Test 1,,Short Fiction,,Nasheed/Rap - Female,,
Competitor,MAS6M-59VCC,,,,,,,
Competitor,MAS6M-MJE76,,,,,,,
Competitor,SM16O-VJARN,,**Culinary Arts [2 max]**,,Debate,Business Venture,Basketball - Male,**NBA 2K (DC) **
Competitor,SM16O-3H64W,,,,,,,
Competitor,SM16O-E7PMV,,**Culinary Arts [2 max]**,,Debate,Business Venture,Basketball - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,EXIMZ-VXQF3,,,,Improv - Male,,Basketball - Male,**NBA 2K (DC) **
Competitor,EXIMZ-1IVPX,Knowledge Test 2,,Short Fiction,Math Olympics,Science Fair,**Soccer [DC]** - Female,
Competitor,EXIMZ-YG2FE,,Digital Art,Poetry,Math Olympics,Nasheed/Rap - Female,**Soccer [DC]** - Female,
Competitor,EXIMZ-74GEC,,,,Improv - Male,Science Fair,Basketball - Male,
Competitor,YEL9T-644ZD,Knowledge Test 2,,,MIST Quiz Bowl,Short Film,Basketball - Female,
Competitor,EXIMZ-YM90S,,,,MIST Quiz Bowl,Science Fair,Basketball - Female,**Chess[DC]**
Competitor,HIEQ8-9BDGS,,,,Math Olympics,Social Media,Basketball - Female,
Competitor,HIEQ8-DQHRY,,,,,Business Venture,**Soccer [DC]** - Male,
Competitor,EXIMZ-ZSNKD,,,,,Short Film,,**Super Smash Bros - Singles (DC)**
Competitor,EXIMZ-H0VAH,,Photography,,,,,
Competitor,EXIMZ-FXUTY,,,,,Short Film,Basketball - Female,
Competitor,EXIMZ-FMEMU,,,,Improv - Female,Short Film,**Soccer [DC]** - Female,
Competitor,EXIMZ-1KV7H,,3D Art,Prepared Essay,Improv - Female,Nasheed/Rap - Female,**Soccer [DC]** - Female,
Competitor,EXIMZ-BPOFF,,**Scrapbook - DC**,,,,,
Competitor,EXIMZ-QDQAO,Knowledge Test 2,,Original Oratory,Debate,,**Soccer [DC]** - Female,
Competitor,51M64-GKREY,,,Original Oratory,,Business Venture,Basketball - Female,
Competitor,VJ2GK-XZDB0,Quran Memorization - Level 1 - Female,**Scrapbook - DC**,,,,Basketball - Female,
Competitor,EXIMZ-0939L,,**Culinary Arts [2 max]**,,,,Basketball - Male,
Competitor,Y0J9Q-6O9VZ,,,Short Fiction,,,**Soccer [DC]** - Male,
Competitor,EXIMZ-H3S27,,3D Art,Prepared Essay,Improv - Female,,**Soccer [DC]** - Female,
Competitor,EXIMZ-GA221,,,,Improv - Male,,,**Super Smash Bros - Singles (DC)**
Competitor,EXIMZ-BJDQK,,,,,Short Film,Basketball - Male,**NBA 2K (DC) **
Competitor,1NO4P-R55IJ,,,,Improv - Male,Business Venture,**Soccer [DC]** - Male,
Competitor,EXIMZ-RM0OL,,,,Improv - Female,Social Media,**Soccer [DC]** - Female,
Competitor,Y0J9Q-FJKTH,Knowledge Test 1,,,,,Basketball - Female,
Competitor,EXIMZ-INVFY,,Photography,,,Social Media,,
Competitor,EXIMZ-KPCT0,,,,Improv - Male,,Basketball - Male,
Competitor,Y0J9Q-7TD5Q,,,Poetry,Improv - Male,Nasheed/Rap - Male,**Soccer [DC]** - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,EXIMZ-LDMRA,,,,MIST Quiz Bowl,,Basketball - Male,
Competitor,VJ2GK-UPNC9,Quran Recitation - Male,,,Debate,,**Soccer [DC]** - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,EXIMZ-231JC,,,,,Social Media,**Soccer [DC]** - Female,
Competitor,EXIMZ-K1JHZ,,,Short Fiction,,,Basketball - Male,
Competitor,R9926-YNCRT,Quran Memorization - Level 3 - Male,,,Improv - Male,,**Soccer [DC]** - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,Y0J9Q-HFRL9,,,,,,**Soccer [DC]** - Male (waitlisted),
Competitor,EXIMZ-ZDFCR,Knowledge Test 3,,,Debate,,,**Chess[DC]**
Competitor,7WU27-N581X,,,,,,,
Competitor,7WU27-MI1O7,Quran Memorization - Level 1 - Female,,,MIST Quiz Bowl (waitlisted),,,
Competitor,7WU27-CBYD5,Quran Memorization - Level 1 - Female,,,,,,
Competitor,7WU27-8AIZS,Knowledge Test 1,Fashion Design,Short Fiction,Debate,,,**Chess[DC]**
